dose,mortality
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
20,0
40,0
40,0
40,0
40,0
40,0
40,0
100,0
40,1
40,1
40,1
40,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
200,1
200,1
200,1
200,1
200,1
200,1
200,1
200,1
200,1
200,1
200,1
500,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,1
0,1
0,1
0,1
0,1
